Code,buying value,average value,selling value,date
LYD,259.717573,262.314487,264.9114,12/20/2023
MAD,123.865323,125.103852,126.34238,12/20/2023
MRO,3.488523,3.523405,3.558286,12/20/2023
MUR,28.2773,28.560044,28.842789,12/20/2023
MWK,0.740727,0.748133,0.75554,12/20/2023
MZN,19.521388,19.716582,19.911776,12/20/2023
NGN,1.512005,1.527124,1.542242,12/20/2023
NOK,121.317673,122.530727,123.743781,12/20/2023
PLN,315.716005,318.872846,322.029687,12/20/2023
QAR,342.023022,345.442907,348.862792,12/20/2023
RUB,13.798839,13.936813,14.074787,12/20/2023
SAR,332.430363,335.754331,339.078299,12/20/2023
SDG,2.076903,2.09767,2.118436,12/20/2023
SEK,122.533512,123.758723,124.983935,12/20/2023
SGD,938.628412,948.013748,957.399084,12/20/2023
SSP,1.162841,1.174468,1.186095,12/20/2023
SZL,68.043968,68.724339,69.40471,12/20/2023
TRY,42.89231,43.321189,43.750069,12/20/2023
TZS,0.496935,0.501904,0.506873,12/20/2023
UGX,0.331082,0.334393,0.337703,12/20/2023
USD,"1,247.01","1,259.48","1,271.95",12/20/2023
XAF,2.083138,2.103967,2.124796,12/20/2023
XDR,"1,666.65","1,683.31","1,699.98",12/20/2023
XOF,2.079397,2.100188,2.12098,12/20/2023
ZAR,68.009675,68.689703,69.369731,12/20/2023
ZMW,49.632423,50.128697,50.624971,12/20/2023
ZWD,3.286507,3.319368,3.35223,12/20/2023
AED,339.210067,342.601825,345.993583,12/19/2023
AOA,1.473136,1.487866,1.502596,12/19/2023
AUD,836.978201,845.347138,853.716074,12/19/2023
BIF,0.437269,0.441642,0.446014,12/19/2023
CAD,930.034954,939.334364,948.633774,12/19/2023
CHF,"1,437.69","1,452.07","1,466.44",12/19/2023
CNH,174.286057,176.028741,177.771426,12/19/2023
CNY,174.378245,176.121851,177.865457,12/19/2023
DKK,182.566766,184.392249,186.217732,12/19/2023
EGP,40.316599,40.719724,41.12285,12/19/2023
ETB,22.145009,22.366437,22.587865,12/19/2023
EUR,"1,360.89","1,374.50","1,388.11",12/19/2023
GBP,"1,576.35","1,592.11","1,607.87",12/19/2023
GHS,103.557444,104.592913,105.628383,12/19/2023
GNF,0.145134,0.146585,0.148036,12/19/2023
HKD,159.796997,161.394805,162.992614,12/19/2023
ILS,339.774406,343.171807,346.569208,12/19/2023
INR,14.976783,15.126536,15.276289,12/19/2023
JPY,8.676244,8.762998,8.849752,12/19/2023
KES,8.084498,8.165335,8.246172,12/19/2023
KMF,2.758783,2.786368,2.813953,12/19/2023
KRW,0.953023,0.962552,0.972081,12/19/2023
KWD,"4,046.85","4,087.31","4,127.78",12/19/2023
LSL,66.986909,67.65671,68.326512,12/19/2023
LYD,259.638898,262.235024,264.831151,12/19/2023
MAD,123.241412,124.473701,125.705991,12/19/2023
MRO,3.485073,3.519921,3.554768,12/19/2023
MUR,28.210719,28.492797,28.774876,12/19/2023
MWK,0.739994,0.747393,0.754793,12/19/2023
MZN,19.502084,19.697085,19.892086,12/19/2023
NGN,1.576536,1.5923,1.608064,12/19/2023
NOK,119.889014,121.087783,122.286552,12/19/2023
PLN,314.817668,317.965527,321.113385,12/19/2023
QAR,341.684189,345.100685,348.517182,12/19/2023
RUB,13.832533,13.970845,14.109156,12/19/2023
SAR,332.092918,335.413512,338.734106,12/19/2023
SDG,2.074849,2.095595,2.116342,12/19/2023
SEK,122.056051,123.276488,124.496925,12/19/2023
SGD,935.236091,944.587507,953.938923,12/19/2023
SSP,1.161691,1.173307,1.184923,12/19/2023
SZL,66.986286,67.656081,68.325877,12/19/2023
TRY,42.862353,43.290933,43.719514,12/19/2023
